[01:29:54 - train - INFO] Seed: 0 (rank-adjusted: 0)
[01:30:02 - train - INFO] Optimizer: FusedAdam
[01:30:02 - train - INFO] Loaded fine-tuning weights from /work/m24046/m24046mrcr/Test_Aube_regular/checkpoints/config_transfer_Aube_regular/Seed0 at epoch 1400
[01:30:02 - train - INFO] len(dataloader) = 84
[01:30:02 - train - INFO] Training (pushforward fine-tuning) started...
[02:09:32 - train - INFO] epoch: 1527, p_tf=0.000, lr: 9.994e-05, loss:  4.436e-01, time/epoch: 17.87s
[02:09:49 - train - INFO] epoch: 1528, p_tf=0.000, lr: 9.994e-05, loss:  4.266e-01, time/epoch: 17.55s
[02:10:07 - train - INFO] epoch: 1529, p_tf=0.000, lr: 9.994e-05, loss:  4.462e-01, time/epoch: 17.82s
[02:10:24 - train - INFO] epoch: 1530, p_tf=0.000, lr: 9.993e-05, loss:  4.519e-01, time/epoch: 17.43s
[02:10:25 - train - INFO] Saved model on rank 0
[02:10:42 - train - INFO] epoch: 1531, p_tf=0.000, lr: 9.993e-05, loss:  4.343e-01, time/epoch: 18.02s
[02:11:01 - train - INFO] epoch: 1532, p_tf=0.000, lr: 9.993e-05, loss:  4.320e-01, time/epoch: 18.24s
[02:11:19 - train - INFO] epoch: 1533, p_tf=0.000, lr: 9.993e-05, loss:  4.254e-01, time/epoch: 18.56s
[02:11:37 - train - INFO] epoch: 1534, p_tf=0.000, lr: 9.993e-05, loss:  4.362e-01, time/epoch: 18.19s
[02:11:56 - train - INFO] epoch: 1535, p_tf=0.000, lr: 9.993e-05, loss:  4.179e-01, time/epoch: 18.17s
[02:12:15 - train - INFO] epoch: 1536, p_tf=0.000, lr: 9.993e-05, loss:  4.452e-01, time/epoch: 18.95s
[02:12:32 - train - INFO] epoch: 1537, p_tf=0.000, lr: 9.993e-05, loss:  4.245e-01, time/epoch: 17.41s
[02:12:51 - train - INFO] epoch: 1538, p_tf=0.000, lr: 9.993e-05, loss:  4.206e-01, time/epoch: 18.67s
[02:13:09 - train - INFO] epoch: 1539, p_tf=0.000, lr: 9.993e-05, loss:  4.187e-01, time/epoch: 18.79s
[02:13:28 - train - INFO] epoch: 1540, p_tf=0.000, lr: 9.993e-05, loss:  4.314e-01, time/epoch: 18.43s
[02:13:28 - train - INFO] Saved model on rank 0
[02:13:47 - train - INFO] epoch: 1541, p_tf=0.000, lr: 9.993e-05, loss:  4.345e-01, time/epoch: 19.28s
[02:14:06 - train - INFO] epoch: 1542, p_tf=0.000, lr: 9.993e-05, loss:  4.269e-01, time/epoch: 18.80s
[02:14:23 - train - INFO] epoch: 1543, p_tf=0.000, lr: 9.993e-05, loss:  4.178e-01, time/epoch: 17.23s
[02:14:41 - train - INFO] epoch: 1544, p_tf=0.000, lr: 9.993e-05, loss:  4.292e-01, time/epoch: 18.17s
[02:15:00 - train - INFO] epoch: 1545, p_tf=0.000, lr: 9.993e-05, loss:  4.195e-01, time/epoch: 18.56s
[02:15:19 - train - INFO] epoch: 1546, p_tf=0.000, lr: 9.993e-05, loss:  4.246e-01, time/epoch: 18.69s
[02:15:35 - train - INFO] epoch: 1547, p_tf=0.000, lr: 9.993e-05, loss:  4.192e-01, time/epoch: 16.83s
[02:15:54 - train - INFO] epoch: 1548, p_tf=0.000, lr: 9.993e-05, loss:  4.319e-01, time/epoch: 18.66s
[02:16:12 - train - INFO] epoch: 1549, p_tf=0.000, lr: 9.993e-05, loss:  4.161e-01, time/epoch: 18.38s
[02:16:31 - train - INFO] epoch: 1550, p_tf=0.000, lr: 9.992e-05, loss:  4.447e-01, time/epoch: 18.87s
[02:16:31 - train - INFO] Saved model on rank 0
[02:16:50 - train - INFO] epoch: 1551, p_tf=0.000, lr: 9.992e-05, loss:  4.253e-01, time/epoch: 18.73s
[02:17:09 - train - INFO] epoch: 1552, p_tf=0.000, lr: 9.992e-05, loss:  4.317e-01, time/epoch: 18.53s
[02:17:25 - train - INFO] epoch: 1553, p_tf=0.000, lr: 9.992e-05, loss:  4.370e-01, time/epoch: 16.84s
[02:17:44 - train - INFO] epoch: 1554, p_tf=0.000, lr: 9.992e-05, loss:  4.452e-01, time/epoch: 18.33s
[02:18:04 - train - INFO] epoch: 1555, p_tf=0.000, lr: 9.992e-05, loss:  4.315e-01, time/epoch: 20.19s
[02:18:22 - train - INFO] epoch: 1556, p_tf=0.000, lr: 9.992e-05, loss:  4.282e-01, time/epoch: 17.60s
[02:18:41 - train - INFO] epoch: 1557, p_tf=0.000, lr: 9.992e-05, loss:  4.384e-01, time/epoch: 19.15s
[02:18:59 - train - INFO] epoch: 1558, p_tf=0.000, lr: 9.992e-05, loss:  4.227e-01, time/epoch: 18.19s
[02:19:17 - train - INFO] epoch: 1559, p_tf=0.000, lr: 9.992e-05, loss:  4.179e-01, time/epoch: 18.11s
[02:19:34 - train - INFO] epoch: 1560, p_tf=0.000, lr: 9.992e-05, loss:  4.150e-01, time/epoch: 16.78s
[02:19:34 - train - INFO] Saved model on rank 0
[02:19:53 - train - INFO] epoch: 1561, p_tf=0.000, lr: 9.992e-05, loss:  4.422e-01, time/epoch: 18.91s
[02:20:11 - train - INFO] epoch: 1562, p_tf=0.000, lr: 9.992e-05, loss:  4.231e-01, time/epoch: 17.86s
[02:20:28 - train - INFO] epoch: 1563, p_tf=0.000, lr: 9.992e-05, loss:  4.180e-01, time/epoch: 17.76s
[02:20:46 - train - INFO] epoch: 1564, p_tf=0.000, lr: 9.992e-05, loss:  4.272e-01, time/epoch: 18.14s
[02:21:05 - train - INFO] epoch: 1565, p_tf=0.000, lr: 9.992e-05, loss:  4.391e-01, time/epoch: 19.01s
[02:21:24 - train - INFO] epoch: 1566, p_tf=0.000, lr: 9.992e-05, loss:  4.288e-01, time/epoch: 18.43s
[02:21:41 - train - INFO] epoch: 1567, p_tf=0.000, lr: 9.992e-05, loss:  4.354e-01, time/epoch: 16.91s
[02:22:00 - train - INFO] epoch: 1568, p_tf=0.000, lr: 9.992e-05, loss:  4.354e-01, time/epoch: 18.96s
[02:22:19 - train - INFO] epoch: 1569, p_tf=0.000, lr: 9.992e-05, loss:  4.105e-01, time/epoch: 19.21s
[02:22:37 - train - INFO] epoch: 1570, p_tf=0.000, lr: 9.991e-05, loss:  4.216e-01, time/epoch: 17.55s
[02:22:37 - train - INFO] Saved model on rank 0
[02:22:55 - train - INFO] epoch: 1571, p_tf=0.000, lr: 9.991e-05, loss:  4.142e-01, time/epoch: 18.30s
[02:23:14 - train - INFO] epoch: 1572, p_tf=0.000, lr: 9.991e-05, loss:  4.189e-01, time/epoch: 19.10s
[02:23:31 - train - INFO] epoch: 1573, p_tf=0.000, lr: 9.991e-05, loss:  4.232e-01, time/epoch: 17.45s
[02:23:49 - train - INFO] epoch: 1574, p_tf=0.000, lr: 9.991e-05, loss:  4.067e-01, time/epoch: 17.61s
[02:24:09 - train - INFO] epoch: 1575, p_tf=0.000, lr: 9.991e-05, loss:  4.082e-01, time/epoch: 19.64s
[02:24:28 - train - INFO] epoch: 1576, p_tf=0.000, lr: 9.991e-05, loss:  4.283e-01, time/epoch: 19.84s
[02:24:46 - train - INFO] epoch: 1577, p_tf=0.000, lr: 9.991e-05, loss:  4.077e-01, time/epoch: 17.26s
[02:25:04 - train - INFO] epoch: 1578, p_tf=0.000, lr: 9.991e-05, loss:  4.192e-01, time/epoch: 18.63s
[02:25:22 - train - INFO] epoch: 1579, p_tf=0.000, lr: 9.991e-05, loss:  4.256e-01, time/epoch: 17.86s
[02:25:41 - train - INFO] epoch: 1580, p_tf=0.000, lr: 9.991e-05, loss:  4.107e-01, time/epoch: 18.98s
